ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200000111298,1704292199999765875,0,1,17077,T,B,0,4764250000000,21,0,15566,8558250
1704292200000708113,1704292200000240389,0,1,17077,T,A,0,4764250000000,1,0,15491,8558270
1704292200000817974,1704292200000488447,0,1,17077,T,A,0,4764250000000,2,0,20079,8558271
1704292200000900225,1704292200000501107,0,1,17077,T,A,0,4764250000000,1,0,18301,8558272
1704292200000900225,1704292200000523589,0,1,17077,T,A,0,4764250000000,1,0,18301,8558272
1704292200001004685,1704292200000821159,0,1,17077,T,A,0,4764250000000,2,0,15852,8558274
1704292200002329240,1704292200001908827,0,1,17077,T,B,0,4764500000000,53,0,17697,8558285
1704292200002798971,1704292200002344603,0,1,17077,T,A,0,4764500000000,6,0,16758,8558307
1704292200002861242,1704292200002352987,0,1,17077,T,A,0,4764500000000,2,0,19251,8558308
1704292200003035936,1704292200002423091,0,1,17077,T,A,0,4764500000000,5,0,19551,8558309
1704292200003218562,1704292200002607023,0,1,17077,T,B,0,4764750000000,3,0,20331,8558311
1704292200003218562,1704292200002607841,0,1,17077,T,A,0,4764500000000,1,0,20331,8558311
1704292200003281182,1704292200002806391,0,1,17077,T,A,0,4764500000000,1,0,15836,8558312
1704292200003281182,1704292200002826865,0,1,17077,T,A,0,4764500000000,1,0,15836,8558312
1704292200003281182,1704292200002863773,0,1,17077,T,A,0,4764500000000,2,0,15836,8558312
1704292200003434501,1704292200002877381,0,1,17077,T,B,0,4764750000000,15,0,18041,8558313
1704292200003505201,1704292200003042163,0,1,17077,T,A,0,4764500000000,2,0,16047,8558314
1704292200003872012,1704292200003692041,0,1,17077,T,A,0,4764500000000,2,0,15533,8558337
1704292200004019289,1704292200003714089,0,1,17077,T,B,0,4764750000000,6,0,15338,8558339
1704292200004079432,1704292200003719381,0,1,17077,T,A,0,4764500000000,1,0,18023,8558340
1704292200004079432,1704292200003802465,0,1,17077,T,A,0,4764500000000,1,0,18023,8558340
1704292200004189739,1704292200004002781,0,1,17077,T,A,0,4764500000000,1,0,15450,8558343
